id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result
142,2018,2018-04-23,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,3,0,Alex Chahal,normal
143,2018,2018-04-24,Rajasthan Royals,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Punjab Kings,bat,Rajasthan Royals,0,1,Ben Bumrah,normal
144,2018,2018-04-25,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,12,0,Ravichandran Kishan,normal
145,2018,2018-04-26,Chennai Super Kings,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Chennai,Mumbai Indians,field,Chennai Super Kings,28,0,Hardik Chahar,normal
146,2018,2018-04-27,Royal Challengers Bangalore,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Delhi Capitals,bat,Delhi Capitals,0,2,Marcus Thakur,normal
147,2018,2018-04-28,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,26,0,Rishabh Jadeja,normal
148,2018,2018-04-29,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Mumbai Indians,bat,Mumbai Indians,3,0,Kane Thakur,normal
149,2018,2018-04-30,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Chennai Super Kings,field,Chennai Super Kings,1,0,Marnus Rahane,normal
150,2018,2018-05-01,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,58,0,Sam Sharma,normal
151,2018,2018-05-02,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,Mumbai Indians,0,3,Jos Curran,normal
152,2018,2018-05-03,Chennai Super Kings,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Delhi Capitals,field,Chennai Super Kings,0,7,Pat Kumar,normal
153,2018,2018-05-04,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Royal Challengers Bangalore,field,Kolkata Knight Riders,18,0,Ben Starc,normal
154,2018,2018-05-05,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Chennai Super Kings,26,0,Yuzvendra Rahul,normal
155,2018,2018-05-06,Mumbai Indians,Kolkata Knight Riders,"Ekana Cricket Stadium, Lucknow",Lucknow,Mumbai Indians,field,Kolkata Knight Riders,0,2,Pat Iyer,normal
156,2018,2018-05-07,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,bat,Royal Challengers Bangalore,0,7,Sanju Behrendorff,normal
157,2018,2018-05-08,Chennai Super Kings,Royal Challengers Bangalore,"M. A. Chidambaram Stadium, Chennai",Chennai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,2,Quinton Shami,normal
158,2018,2018-05-09,Chennai Super Kings,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Chennai Super Kings,field,Chennai Super Kings,4,0,Pat Kumar,normal
159,2018,2018-05-10,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Jaipur,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,4,Tim Russell,normal
160,2018,2018-05-11,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,0,4,Rohit Maxwell,normal
161,2018,2018-05-12,Punjab Kings,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,Punjab Kings,bat,Punjab Kings,24,0,Marnus Khan,normal
162,2018,2018-05-13,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians,6,0,Shardul Khan,normal
163,2018,2018-05-14,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,10,Alex Chahal,normal
164,2018,2018-05-15,Sunrisers Hyderabad,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Royal Challengers Bangalore,field,Sunrisers Hyderabad,12,0,Jason Shaw,normal
165,2018,2018-05-16,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Delhi,Kolkata Knight Riders,bat,Delhi Capitals,0,6,Steve Rahane,normal
166,2018,2018-05-17,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,bat,Punjab Kings,0,1,Jos Iyer,normal
167,2018,2018-05-18,Punjab Kings,Royal Challengers Bangalore,"Ekana Cricket Stadium, Lucknow",Lucknow,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0,9,Shardul Livingstone,normal
168,2018,2018-05-19,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,bat,Chennai Super Kings,0,4,Andre Lynn,normal
169,2019,2019-03-25,Kolkata Knight Riders,Mumbai Indians,"Ekana Cricket Stadium, Lucknow",Lucknow,Mumbai Indians,field,Kolkata Knight Riders,13,0,Mitchell Starc,normal
170,2019,2019-03-26,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Delhi Capitals,0,2,Kane Rabada,normal
171,2019,2019-03-27,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Mumbai Indians,field,Punjab Kings,0,1,Nicholas Rabada,normal
172,2019,2019-03-28,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Mohali,Royal Challengers Bangalore,field,Royal Challengers Bangalore,70,0,Mohammed Rahane,normal
173,2019,2019-03-29,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,Chennai Super Kings,bat,Kolkata Knight Riders,0,1,Ravindra Bumrah,normal
174,2019,2019-03-30,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Mohali,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,10,0,Mitchell Markram,normal
175,2019,2019-03-31,Delhi Capitals,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Chennai Super Kings,0,2,Prithvi Chahal,normal
176,2019,2019-04-01,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,0,2,Alex Samson,normal
177,2019,2019-04-02,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Punjab Kings,0,5,Jos Green,normal
178,2019,2019-04-03,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,bat,Chennai Super Kings,24,0,Hardik Russell,normal
179,2019,2019-04-04,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Chennai Super Kings,3,0,Prithvi Chahal,normal
180,2019,2019-04-05,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Rajasthan Royals,field,Rajasthan Royals,0,8,Marnus Gill,normal
181,2019,2019-04-06,Sunrisers Hyderabad,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Chennai,Delhi Capitals,field,Sunrisers Hyderabad,25,0,Ben Rahul,normal
182,2019,2019-04-07,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai,Kolkata Knight Riders,bat,Kolkata Knight Riders,14,0,Marnus du Plessis,normal
183,2019,2019-04-08,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,17,0,KL Maxwell,normal
184,2019,2019-04-09,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,Rajasthan Royals,0,5,Sam Thakur,normal
185,2019,2019-04-10,Chennai Super Kings,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Punjab Kings,bat,Chennai Super Kings,0,6,Ravichandran Shami,normal
186,2019,2019-04-11,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,39,0,Ravindra Bumrah,normal
187,2019,2019-04-12,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Chennai,Delhi Capitals,field,Delhi Capitals,68,0,Mohammed Williamson,normal
188,2019,2019-04-13,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,38,0,Pat Chahal,normal
189,2019,2019-04-14,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Mohali,Rajasthan Royals,bat,Punjab Kings,14,0,Kane Livingstone,normal
190,2019,2019-04-15,Mumbai Indians,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Mumbai Indians,bat,Punjab Kings,16,0,Cheteshwar Ashwin,normal
191,2019,2019-04-16,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,bat,Delhi Capitals,46,0,Tim Green,normal
192,2019,2019-04-17,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,1,Alex Sundar,normal
193,2019,2019-04-18,Delhi Capitals,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Royal Challengers Bangalore,bat,Delhi Capitals,12,0,Yuzvendra Samson,normal
194,2019,2019-04-19,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,0,3,Jos Rahane,normal
195,2019,2019-04-20,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,0,1,Andre Lynn,normal
196,2019,2019-04-21,Delhi Capitals,Kolkata Knight Riders,"Ekana Cricket Stadium, Lucknow",Lucknow,Delhi Capitals,bat,Kolkata Knight Riders,0,9,Quinton Bairstow,normal
197,2019,2019-04-22,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,31,0,Bhuvneshwar Kishan,normal
198,2019,2019-04-23,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,5,0,Suryakumar Green,normal
199,2019,2019-04-24,Rajasthan Royals,Punjab Kings,"Ekana Cricket Stadium, Lucknow",Lucknow,Rajasthan Royals,bat,Rajasthan Royals,0,2,Kane Shaw,normal
200,2019,2019-04-25,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians,77,0,Trent Sundar,normal
201,2019,2019-04-26,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,1,Jason Shaw,normal
202,2019,2019-04-27,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,field,Kolkata Knight Riders,14,0,Bhuvneshwar Kishan,normal
203,2019,2019-04-28,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,5,0,Jason Labuschagne,normal
204,2019,2019-04-29,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Kolkata Knight Riders,0,2,Sanju Pooran,normal
205,2019,2019-04-30,Royal Challengers Bangalore,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,bat,Royal Challengers Bangalore,17,0,Ishan Gill,normal
206,2019,2019-05-01,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,4,KL Rahul,normal
207,2019,2019-05-02,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Mumbai Indians,0,4,Mohammed Labuschagne,normal
208,2019,2019-05-03,Delhi Capitals,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata,Sunrisers Hyderabad,bat,Delhi Capitals,0,2,Yuzvendra Samson,normal
209,2019,2019-05-04,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4,Ben Rahul,normal
210,2019,2019-05-05,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians,0,10,KL Ashwin,normal
211,2019,2019-05-06,Kolkata Knight Riders,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,1,Jason Shaw,tie
212,2019,2019-05-07,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,3,Mitchell Markram,normal
213,2019,2019-05-08,Royal Challengers Bangalore,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Delhi Capitals,field,Delhi Capitals,0,7,Sanju Smith,normal
214,2019,2019-05-09,Punjab Kings,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,Chennai Super Kings,field,Punjab Kings,0,2,Tim Samson,normal
215,2019,2019-05-10,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,bat,Rajasthan Royals,8,0,Virat Ashwin,normal
216,2019,2019-05-11,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,1,0,Suryakumar Bumrah,normal
217,2019,2019-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,"Ekana Cricket Stadium, Lucknow",Lucknow,Kolkata Knight Riders,bat,Kolkata Knight Riders,77,0,Pat Labuschagne,normal
218,2019,2019-05-13,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai,Rajasthan Royals,bat,Rajasthan Royals,0,10,Axar Williamson,normal
219,2019,2019-05-14,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Jaipur,Sunrisers Hyderabad,field,Sunrisers Hyderabad,20,0,Faf Samson,normal
220,2019,2019-05-15,Delhi Capitals,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Punjab Kings,bat,Punjab Kings,16,0,Ravindra Stoinis,normal
221,2019,2019-05-16,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Mumbai Indians,5,0,Sam Patel,normal
222,2019,2019-05-17,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,bat,Rajasthan Royals,0,2,Sam Williamson,normal
223,2019,2019-05-18,Chennai Super Kings,Mumbai Indians,"Ekana Cricket Stadium, Lucknow",Lucknow,Mumbai Indians,field,Chennai Super Kings,45,0,Jonny Behrendorff,normal
224,2019,2019-05-19,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi,Rajasthan Royals,field,Delhi Capitals,14,0,Yuzvendra Samson,normal
225,2020,2020-03-25,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,Cheteshwar Pooran,tie
226,2020,2020-03-26,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,0,2,Marnus Chahar,normal
227,2020,2020-03-27,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Delhi Capitals,0,1,Tim Shami,normal
228,2020,2020-03-28,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,0,9,Ishan Shaw,normal
229,2020,2020-03-29,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,57,0,Axar Rabada,normal
230,2020,2020-03-30,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai,Rajasthan Royals,field,Rajasthan Royals,0,8,Virat Ashwin,normal
231,2020,2020-03-31,Punjab Kings,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Punjab Kings,bat,Punjab Kings,5,0,Prithvi Yadav,normal
232,2020,2020-04-01,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,Mumbai Indians,0,1,Ravindra Sundar,normal
233,2020,2020-04-02,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Delhi,Kolkata Knight Riders,field,Delhi Capitals,26,0,Tim Shami,normal
234,2020,2020-04-03,Delhi Capitals,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Punjab Kings,22,0,Suryakumar Bairstow,normal
235,2020,2020-04-04,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,50,0,Alex Behrendorff,normal
236,2020,2020-04-05,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,bat,Delhi Capitals,2,0,Prithvi Yadav,normal
237,2020,2020-04-06,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,0,2,MS Smith,normal
238,2020,2020-04-07,Chennai Super Kings,Sunrisers Hyderabad,"M. A. Chidambaram Stadium, Chennai",Chennai,Sunrisers Hyderabad,field,Sunrisers Hyderabad,25,0,Jos Khan,normal
239,2020,2020-04-08,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,bat,Punjab Kings,0,2,Ravichandran Iyer,normal
240,2020,2020-04-09,Royal Challengers Bangalore,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Mohali,Delhi Capitals,bat,Royal Challengers Bangalore,1,0,Cheteshwar Pooran,normal
241,2020,2020-04-10,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Mohali,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,6,Suryakumar Bumrah,normal
242,2020,2020-04-11,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi,Rajasthan Royals,field,Rajasthan Royals,0,8,Alex Samson,normal
243,2020,2020-04-12,Chennai Super Kings,Punjab Kings,"Eden Gardens, Kolkata",Kolkata,Punjab Kings,field,Punjab Kings,0,10,Sanju Cummins,normal
244,2020,2020-04-13,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata,Punjab Kings,field,Punjab Kings,14,0,Ravindra Stoinis,normal
245,2020,2020-04-14,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,48,0,Mitchell Thakur,normal
246,2020,2020-04-15,Rajasthan Royals,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan Royals,field,Rajasthan Royals,18,0,Deepak Paine,normal
247,2020,2020-04-16,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,0,1,KL Ashwin,normal
248,2020,2020-04-17,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Mohali,Chennai Super Kings,field,Chennai Super Kings,0,7,Tim Sharma,normal
249,2020,2020-04-18,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Mumbai Indians,field,Mumbai Indians,0,2,Trent Maxwell,normal
250,2020,2020-04-19,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,0,6,Suryakumar Green,normal
251,2020,2020-04-20,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians,9,0,Ravindra Smith,normal
252,2020,2020-04-21,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,0,Mitchell Shaw,normal
253,2020,2020-04-22,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Mumbai Indians,0,5,Ravindra Sundar,normal
254,2020,2020-04-23,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,1,Axar Pant,normal
255,2020,2020-04-24,Royal Challengers Bangalore,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Rajasthan Royals,0,4,Glenn Pooran,normal
256,2020,2020-04-25,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Punjab Kings,6,0,Nicholas Rabada,normal
257,2020,2020-04-26,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Chennai Super Kings,81,0,Kagiso Behrendorff,normal
258,2020,2020-04-27,Mumbai Indians,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Jaipur,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,1,Virat Pandya,normal
259,2020,2020-04-28,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Chennai Super Kings,bat,Chennai Super Kings,89,0,Mitchell Paine,normal
260,2020,2020-04-29,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,bat,Rajasthan Royals,0,3,Ajinkya Williamson,normal
261,2020,2020-04-30,Kolkata Knight Riders,Mumbai Indians,"Ekana Cricket Stadium, Lucknow",Lucknow,Mumbai Indians,field,Kolkata Knight Riders,6,0,Ben Khan,normal
262,2020,2020-05-01,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,6,Sanju Behrendorff,normal
263,2020,2020-05-02,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,bat,Royal Challengers Bangalore,0,8,Shardul Maxwell,normal
264,2020,2020-05-03,Chennai Super Kings,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata,Chennai Super Kings,field,Mumbai Indians,7,0,Liam Jadeja,normal
265,2020,2020-05-04,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Punjab Kings,bat,Punjab Kings,8,0,Jos Iyer,normal
266,2020,2020-05-05,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians,13,0,Chris Patel,normal
267,2020,2020-05-06,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,0,5,Kuldeep Patel,normal
268,2020,2020-05-07,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Mohali,Rajasthan Royals,field,Punjab Kings,1,0,Sanju Cummins,normal
269,2020,2020-05-08,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,8,Axar Pant,normal
270,2020,2020-05-09,Royal Challengers Bangalore,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,23,0,Alex Chahar,normal
271,2020,2020-05-10,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Mumbai Indians,field,Punjab Kings,0,2,Kane Livingstone,normal
272,2020,2020-05-11,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,bat,Sunrisers Hyderabad,22,0,Jos Khan,normal
273,2020,2020-05-12,Royal Challengers Bangalore,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Mumbai Indians,field,Royal Challengers Bangalore,14,0,Andre Khan,normal
274,2020,2020-05-13,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Delhi Capitals,0,6,Axar Rahane,normal
275,2020,2020-05-14,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,field,Sunrisers Hyderabad,0,2,Virat Smith,normal
276,2020,2020-05-15,Royal Challengers Bangalore,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai,Kolkata Knight Riders,bat,Kolkata Knight Riders,0,4,Suryakumar Bumrah,normal
277,2020,2020-05-16,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Mohali,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,0,KL Maxwell,normal
278,2020,2020-05-17,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,0,5,Ben Bumrah,normal
279,2020,2020-05-18,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,bat,Kolkata Knight Riders,0,1,Axar Chahar,normal
280,2020,2020-05-19,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,bat,Delhi Capitals,41,0,Bhuvneshwar Williamson,normal
281,2021,2021-03-25,Punjab Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,bat,Punjab Kings,18,0,David Thakur,normal
282,2021,2021-03-26,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,22,0,Hardik Warner,normal
